2019-11-22 10:34:20.027 default [main] ERROR o.s.b.c.l.LoggingApplicationListener - Cannot set level '' for 'logging'
2019-11-22 10:34:20.097 default [main] INFO  com.jvtd.bop2.JPushService - Starting JPushService on zhangjianfudeMacBook-Pro.local with PID 78251 (/Users/zhangjianfu/Projects/Java/jpush-service/target/classes started by zhangjianfu in /Users/zhangjianfu/Projects/Java/jpush-service)
2019-11-22 10:34:20.097 default [main] DEBUG com.jvtd.bop2.JPushService - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-22 10:34:20.098 default [main] INFO  com.jvtd.bop2.JPushService - No active profile set, falling back to default profiles: default
2019-11-22 10:34:20.924 default [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2019-11-22 10:34:20.942 default [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-11-22 10:34:20.942 default [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-11-22 10:34:21.103 default [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2019-11-22 10:34:21.106 default [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-22 10:34:21.106 default [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 978 ms
2019-11-22 10:34:21.296 default [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 10:34:21.496 default [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2019-11-22 10:34:21.499 default [main] INFO  com.jvtd.bop2.JPushService - Started JPushService in 1.788 seconds (JVM running for 2.287)
2019-11-22 10:34:28.454 default [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-11-22 10:34:28.455 default [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-11-22 10:34:28.461 default [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2019-11-22 10:34:28.662 default [http-nio-8888-exec-1] INFO  c.j.b.c.JPushServiceController - sendPush2Alias， 请求参数：{"apnsProduction":false,"content":"测试发送一条推送","extras":{"chatId":"123123"},"targetAlias":["1513","1536"],"timeToAlive":0,"title":"IM项目组"}
2019-11-22 10:34:43.126 default [http-nio-8888-exec-2] INFO  c.j.b.c.JPushServiceController - sendPush2Alias， 请求参数：{"apnsProduction":false,"content":"测试发送一条推送","extras":{"chatId":"123123"},"targetAlias":["1513","1536"],"timeToAlive":0,"title":"IM项目组1"}
2019-11-22 10:35:24.856 default [http-nio-8888-exec-3] INFO  c.j.b.c.JPushServiceController - sendPush2Alias， 请求参数：{"apnsProduction":false,"content":"测试发送一条推送","extras":{"chatId":"123123"},"targetAlias":["1513","1536"],"timeToAlive":0,"title":"IM项目组2"}
2019-11-22 10:39:54.836 default [http-nio-8888-exec-5] INFO  c.j.b.c.JPushServiceController - sendPush2Alias， 请求参数：{"apnsProduction":false,"content":"测试发送一条推送","extras":{"chatId":"123123"},"targetAlias":["1513","1536"],"timeToAlive":0,"title":"IM项目组21"}
2019-11-22 11:07:22.923 default [http-nio-8888-exec-7] INFO  c.j.b.c.JPushServiceController - sendPush2Alias， 请求参数：{"apnsProduction":false,"content":"测试发送一条推送","extras":{"chatId":"123123"},"targetAlias":["1513","1536"],"timeToAlive":0,"title":"IM项目组21"}
2019-11-22 15:06:49.636 default [http-nio-8888-exec-9] INFO  c.j.b.c.JPushServiceController - sendPush2Alias， 请求参数：{"apnsProduction":false,"content":"测试发送一条推送","extras":{"chatId":"123123"},"targetAlias":["1513","1536"],"timeToAlive":0,"title":"IM项目组21"}
2019-11-22 15:40:16.175 default [Thread-5] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
